date,Appliances,lights,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,T_int_avg,RH_int_avg
2016-01-11 17:00:00,60,30,6.6,733.5,92.0,7.0,63.0,5.3,18.635238095714282,46.915714287142855
2016-01-11 17:10:00,60,30,6.48,733.6,92.0,6.666666667,59.16666667,5.2,18.635238095714282,46.83166666571429
2016-01-11 17:20:00,50,30,6.37,733.7,92.0,6.333333333,55.33333333,5.1,18.624761905714283,46.714761904285716
2016-01-11 17:30:00,50,40,6.25,733.8,92.0,6.0,51.5,5.0,18.595714285714287,46.621428571428574
2016-01-11 17:40:00,60,40,6.13,733.9,92.0,5.666666667,47.66666667,4.9,18.610000000000003,46.614761904285714
2016-01-11 17:50:00,50,40,6.02,734.0,92.0,5.333333333,43.83333333,4.8,18.59095238,46.58142857142858
2016-01-11 18:00:00,60,50,5.9,734.1,92.0,5.0,40.0,4.7,18.586190475714286,46.53047619142857
2016-01-11 18:10:00,60,50,5.92,734.1666667,91.83333333,5.166666667,40.0,4.68,18.568095238571427,46.50190476142858
2016-01-11 18:20:00,60,40,5.93,734.2333333,91.66666667,5.333333333,40.0,4.67,18.577619048571428,46.51440476142857
2016-01-11 18:30:00,70,40,5.95,734.3,91.5,5.5,40.0,4.65,18.595238095714286,46.64857142857142
2016-01-11 18:40:00,230,70,5.97,734.3666667,91.33333333,5.666666667,40.0,4.63,18.630119048571427,46.84297619000001
2016-01-11 18:50:00,580,60,5.98,734.4333333,91.16666667,5.833333333,40.0,4.62,18.71142857285714,47.13571428571429
2016-01-11 19:00:00,430,50,6.0,734.5,91.0,6.0,40.0,4.6,18.797142857142855,47.543809522857146
2016-01-11 19:10:00,250,40,6.0,734.6166667,90.5,6.0,40.0,4.52,18.85380952285714,48.64761904714285
2016-01-11 19:20:00,100,10,6.0,734.7333333,90.0,6.0,40.0,4.43,18.92571428571429,49.739523808571434
2016-01-11 19:30:00,100,10,6.0,734.85,89.5,6.0,40.0,4.35,18.98428571428571,49.68226190571429
2016-01-11 19:40:00,90,10,6.0,734.9666667,89.0,6.0,40.0,4.27,19.025714287142858,49.56571428571429
2016-01-11 19:50:00,70,30,6.0,735.0833333,88.5,6.0,40.0,4.18,19.057619048571432,49.68773809571429
2016-01-11 20:00:00,80,30,6.0,735.2,88.0,6.0,40.0,4.1,19.093333332857146,49.25238095142857
2016-01-11 20:10:00,140,40,6.0,735.2333333,87.83333333,6.0,40.0,4.07,19.164285714285715,50.94857142857143
2016-01-11 20:20:00,120,20,6.0,735.2666667,87.66666667,6.0,40.0,4.03,19.261190477142858,51.85238095142858
2016-01-11 20:30:00,190,40,6.0,735.3,87.5,6.0,40.0,4.0,19.24857142857143,51.71047619142858
2016-01-11 20:40:00,110,40,6.0,735.3333333,87.33333333,6.0,40.0,3.97,19.28999999857143,51.619047618571436
2016-01-11 20:50:00,110,40,6.0,735.3666667,87.16666667,6.0,40.0,3.93,19.346666667142863,51.239523808571434
2016-01-11 21:00:00,110,30,6.0,735.4,87.0,6.0,40.0,3.9,19.40809523857143,51.58952380857142
2016-01-11 21:10:00,110,20,5.93,735.4666667,87.16666667,6.0,40.0,3.87,19.527619048571427,51.467619047142854
2016-01-11 21:20:00,100,30,5.87,735.5333333,87.33333333,6.0,40.0,3.83,19.569047618571428,49.864761904285714
2016-01-11 21:30:00,100,20,5.8,735.6,87.5,6.0,40.0,3.8,19.64190476285714,48.604761904285716
2016-01-11 21:40:00,100,20,5.73,735.6666667,87.66666667,6.0,40.0,3.77,19.670476191428573,48.137619047142856
2016-01-11 21:50:00,100,20,5.67,735.7333333,87.83333333,6.0,40.0,3.73,19.733571428571427,47.77380952428571
2016-01-11 22:00:00,110,20,5.6,735.8,88.0,6.0,40.0,3.7,19.77,47.39285714142857
2016-01-11 22:10:00,400,20,5.65,735.8833333,87.83333333,6.166666667,40.0,3.72,19.79,47.01523809428571
2016-01-11 22:20:00,400,20,5.7,735.9666667,87.66666667,6.333333333,40.0,3.73,19.852380952857143,46.83
2016-01-11 22:30:00,390,30,5.75,736.05,87.5,6.5,40.0,3.75,19.928333332857147,46.56797619
2016-01-11 22:40:00,240,20,5.8,736.1333333,87.33333333,6.666666667,40.0,3.77,20.003809524285714,46.387619047142856
2016-01-11 22:50:00,60,20,5.85,736.2166667,87.16666667,6.833333333,40.0,3.78,20.044166667142857,46.27095238142858
2016-01-11 23:00:00,60,20,5.9,736.3,87.0,7.0,40.0,3.8,20.07583333428571,46.183095238571426
2016-01-11 23:10:00,60,20,5.8,736.4,87.83333333,6.833333333,37.0,3.85,20.057619047142857,46.261904761428575
2016-01-11 23:20:00,50,10,5.7,736.5,88.66666667,6.666666667,34.0,3.9,20.033333332857143,46.33190476
2016-01-11 23:30:00,70,20,5.6,736.6,89.5,6.5,31.0,3.95,19.99452381,46.43916666571429
2016-01-11 23:40:00,60,20,5.5,736.7,90.33333333,6.333333333,28.0,4.0,19.97,46.50976190428572
